id,filename
774,"Populous - The Beginning (Europe) (En,Fr,De,Es,It,Nl,Sv)"
775,Premier Manager 98 (Europe)
776,"Rapid Racer (Europe) (En,Fr,De,Es,It)"
777,"Spec Ops - Ranger Elite (Europe) (En,Fr,De,Es,It)"
778,Mortal Kombat Trilogy (Europe) (Midway Classics)
779,"Ronin Blade (Europe) (En,Fr,De)"
780,Heart of Darkness (Europe) (Disc 1) (EDC)
781,Heart of Darkness (Europe) (Disc 2)
782,Worms (Europe)
784,"V-Rally - 97 Championship Edition (Europe) (En,Fr,De) (Rev 1)"
785,"Colin McRae Rally (Europe) (En,Fr,De,Es)"
786,"Raging Skies (Europe) (En,Fr,De)"
787,Capcom Generations (Europe) (Disc 1) (Wings of Destiny)
788,Capcom Generations (Europe) (Disc 2) (Chronicles of Arthur)
789,Capcom Generations (Europe) (Disc 3) (The First Generation)
790,Capcom Generations (Europe) (Disc 4) (Blazing Guns)
791,Gex 3 - Deep Cover Gecko (USA)
793,"Panzer Front (Europe) (En,Fr,De)"
794,"Ridge Racer - High Spec Ver. & Namco Catalogue '98 (Japan, Asia)"
795,Alex Ferguson's Player Manager 2001 (Europe)
796,David Beckham Soccer (Europe)
797,"Army Men - Land, Sea, Air (Europe) (En,Fr,De,Es,It)"
798,"CTR - Crash Team Racing (Europe) (En,Fr,De,Es,It,Nl)"
799,"WRC - FIA World Rally Championship Arcade (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)"
800,"Music 2000 (Europe) (En,Fr,De,Es,It)"
801,Resident Evil - Survivor (Europe)
802,Sanvein (Europe)
803,"Sentinel Returns (Europe) (En,Fr,De,Es,It)"
804,"Sheep (Europe) (En,Fr,De,Es,It)"
805,Riot (Europe)
806,Cold Blood (Germany) (Disc 1)
807,"South Park Rally (Europe) (En,Fr,De,Es)"
810,"Crash Bandicoot (Europe, Australia)"
812,Wing Commander III - Heart of the Tiger (Europe) (Disc 2)
813,Wing Commander III - Heart of the Tiger (Europe) (Disc 4)
814,Star Wars - Rebel Assault II - The Hidden Empire (Germany) (Disc 1)
815,Star Wars - Rebel Assault II - The Hidden Empire (Germany) (Disc 2)
816,"Sled Storm (Europe) (En,Fr,De,Es)"
817,Cricket 2000 (Europe)
818,Spyro - Year of the Dragon (USA)
819,NFL Blitz 2001 (USA)
820,Yu-Gi-Oh! Forbidden Memories (USA)
821,Power Spike - Pro Beach Volleyball (USA)
822,"Evo's Space Adventures (Europe) (En,Fr,De,Es,It)"
823,"Extreme 500 (Europe) (En,De)"
824,Poy Poy (Europe)
825,NCAA Football 2000 (USA)
826,MLB 2002 (USA)
827,"Flintstones, The - Bedrock Bowling (Europe)"
828,"Blast Chamber (Europe) (En,Fr,De,Es,It)"
829,"Formula 1 97 (Europe) (En,Fr,De,Es,It)"
830,007 - Tomorrow Never Dies (USA)
833,"Gekido - Urban Fighters (Europe) (En,Fr,De,Es,It)"
834,London Racer (Europe)
